time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160115:1110;124.01;97.0;0.0;23.09;-9.74;2.69;0.0
20160115:1210;54.0;110.0;0.0;23.08;-9.51;2.84;0.0
20160115:1310;0.0;46.0;0.0;20.34;-10.19;2.65;0.0
20160115:1410;0.0;40.0;0.0;15.19;-10.87;2.46;0.0
20160115:1510;0.0;50.0;0.0;8.1;-11.55;2.28;0.0
20160115:1610;0.0;0.0;0.0;0.0;-12.32;2.27;0.0
20160115:1710;0.0;0.0;0.0;0.0;-13.09;2.27;0.0
20160115:1810;0.0;0.0;0.0;0.0;-13.86;2.26;0.0
20160115:1910;0.0;0.0;0.0;0.0;-13.61;2.27;0.0
20160115:2010;0.0;0.0;0.0;0.0;-13.36;2.27;0.0
20160115:2110;0.0;0.0;0.0;0.0;-13.12;2.28;0.0
20160115:2210;0.0;0.0;0.0;0.0;-13.36;2.34;0.0
20160115:2310;0.0;0.0;0.0;0.0;-13.6;2.4;0.0
20160116:0010;0.0;0.0;0.0;0.0;-13.85;2.47;0.0
20160116:0110;0.0;0.0;0.0;0.0;-13.47;2.63;0.0
20160116:0210;0.0;0.0;0.0;0.0;-13.1;2.8;0.0
20160116:0310;0.0;0.0;0.0;0.0;-12.73;2.97;0.0
20160116:0410;0.0;0.0;0.0;0.0;-12.71;3.06;0.0
20160116:0510;0.0;0.0;0.0;0.0;-12.7;3.16;0.0
20160116:0610;0.0;0.0;0.0;0.0;-12.68;3.26;0.0
20160116:0710;0.0;0.0;0.0;0.0;-12.3;3.27;0.0
20160116:0810;0.0;39.0;0.0;8.28;-11.92;3.29;0.0
20160116:0910;2.0;54.0;0.0;15.37;-11.53;3.31;0.0
20160116:1010;0.0;56.0;0.0;20.53;-11.13;3.43;0.0
20160116:1110;8.0;34.0;0.0;23.27;-10.73;3.56;0.0
20160116:1210;59.0;125.0;0.0;23.27;-10.33;3.68;0.0
20160116:1310;0.0;30.0;0.0;20.54;-10.57;3.37;0.0
20160116:1410;0.0;21.0;0.0;15.39;-10.81;3.05;0.0
20160116:1510;0.0;29.0;0.0;8.31;-11.05;2.73;0.0
20160116:1610;0.0;0.0;0.0;0.0;-11.53;2.86;0.0
